hotel_class,name,id,locality,region
2.8850684495383634,Essex Hotel,654032,San Francisco,CA
2.0,Mission Inn,81150,San Francisco,CA
2.0,Surf Motel,291071,San Francisco,CA
2.8850684495383634,Marriott ExecuStay Gateway,1546311,San Francisco,CA
2.0,Alexis Park San Francisco,1214408,San Francisco,CA
2.8850684495383634,Ansonia Abby Hotel,226814,San Francisco,CA
1.5,Presidio Inn & Suites,80987,San Francisco,CA
2.5,Renoir Hotel,80799,San Francisco,CA
2.8850684495383634,Star Motel,81383,San Francisco,CA
2.0,Union Square Plaza Hotel,80806,San Francisco,CA
2.0,Rodeway Inn Downtown,142261,San Francisco,CA
2.0,Country Hearth Inn San Francisco,256730,San Francisco,CA
2.8850684495383634,Days Inn Lombard Street,80950,San Francisco,CA
2.8850684495383634,Oceanview Motel,226829,San Francisco,CA
2.5,Nob Hill Hotel,119637,San Francisco,CA
2.8850684495383634,Synergy Avalon Mission Bay,571427,San Francisco,CA
2.0,Monarch Hotel,80788,San Francisco,CA
2.0,Francisco Bay Inn,119650,San Francisco,CA
2.8850684495383634,Great Highway Motor Inn,81007,San Francisco,CA
2.0,Adante Hotel,80756,San Francisco,CA
2.0,Americas Best Value Inn Golden Gate,267364,San Francisco,CA
2.8850684495383634,Paramount Rental Apartment,1973577,San Francisco,CA
2.8850684495383634,Hotel North Beach,217294,San Francisco,CA
2.0,Post Hotel,1800858,San Francisco,CA
2.8850684495383634,Astoria Hotel,81976,San Francisco,CA
2.8850684495383634,Economy Inn Presidio,570865,San Francisco,CA
2.8850684495383634,Marina Inn,113927,San Francisco,CA
2.0,Super 8 San Francisco/Union Square Area,80821,,
2.8850684495383634,The Dakota Hotel,124967,San Francisco,CA
2.8850684495383634,The Gaylord,510378,San Francisco,CA
2.8850684495383634,Motel 6 San Francisco Downtown,80977,San Francisco,CA
2.8850684495383634,Edwardian San Francisco Hotel,81782,San Francisco,CA
1.5,Capri Motel,119590,San Francisco,CA
2.5,The Good Hotel,81959,San Francisco,CA
2.5,Inn on Broadway,119661,San Francisco,CA
2.0,Americas Best Value Inn & Suites-SOMA,288687,San Francisco,CA
2.5,Hotel Metropolis,224955,San Francisco,CA
2.8850684495383634,da Vinci Villa,2236788,San Francisco,CA
